wsid,wsnm,elvt,lat,lon,inme,city,prov
337,PASSA QUATRO,1017.00,-22.395799,-44.961909,A529,Passa Quatro,MG
338,CALDAS,1077.00,-21.918066,-46.382996,A530,Caldas,MG
339,MARIA DA FÉ,1281.00,-22.314567,-45.373049,A531,Maria da Fé,MG
340,GOVERNADOR VALADARES,198.00,-18.830354,-41.977007,A532,Governador Valadares,MG
341,GUANHÃES,853.00,-18.786842,-42.942921,A533,Guanhães,MG
342,AIMORES,288.00,-19.532768,-41.090801,A534,Aimorés,MG
343,FLORESTAL,754.00,-19.885398,-44.416883,A535,Florestal,MG
344,DORES DO INDAIÁ,721.00,-19.481935,-45.593932,A536,Dores do Indaiá,MG
345,DIAMANTINA,1359.00,-18.231052,-43.648269,A537,Diamantina,MG
346,CURVELO,669.00,-18.747711,-44.453785,A538,Curvelo,MG
347,MOCAMBINHO,454.00,-15.085958,-44.016036,A539,Porteirinha,MG
348,MANTENA,255.00,-18.780620,-40.986505,A540,Mantena,MG
349,CAPELINHA,932.00,-17.705504,-42.389256,A541,Capelinha,MG
